ID ECAO	Anatomical Structure	Type (is-a)	Part of	Develops from	Starts at stage	Ends at stage	Description	Synonyms	UBERON type	UBERON (non-exact)	Cell type (is-a)	Cell type (non-exact)	Pubmed id	Comments	XAO Type	Pliv comments	GeneOntology type	URCH specific	hasNoOnto					
ECAO:0100350	echinoderm anatomy						Biological entity that is either an individual member of a biological species or constitutes the structural organization of an individual member of a biological species.		UBERON:0001062															
ECAO:0100351	anatomical structure		echinoderm anatomy				Material anatomical entity that has inherent 3D shape and is generated by coordinated expression of the organism's own genome		UBERON:0000061															
ECAO:0100352	anatomical system		echinoderm anatomy				"A system that has as its parts distinct anatomical structures interconnected by anatomical structures at a lower level of granularity. Multicellular, connected anatomical structure that has multiple organs as parts and whose parts work together to achieve some shared function"	"organ system, connected anatomical system, body system"	UBERON:0000467															
ECAO:0100353	anatomical region		echinoderm anatomy				A region of the whole organism without well-defined compartmental boundaries	organism subdivision	UBERON:0000475															
ECAO:0100354	anatomical space		echinoderm anatomy						UBERON:0000464															
ECAO:0100355	whole organism	anatomical structure			previtellogenic primary oocyte stage	adult stage	Anatomical structure that is an individual member of a species and consists of one cell or more				OBI:0100026													
ECAO:0100356	multicellular organism	anatomical structure	whole organism		2-cell stage	adult stage	Anatomical structure that is an individual member of a species and consists of more than one cell		UBERON:0000468															
ECAO:0100357	embryo	multicellular organism			1-cell stage	prism stage	"Anatomical entity that comprises the animal in the early stages of growth and differentiation that are characterized by cleavage, the laying down of fundamental tissues, and the formation of primitive organs and organ systems"		UBERON:0000922															
ECAO:0100358	larva	multicellular organism		embryo	early pluteus larva stage	metamorphic larva stage			UBERON:0002548															
ECAO:0100359	juvenile	multicellular organism		larva	early juvenile stage	late juvenile stage			UBERON:0034919															
ECAO:0100360	adult	multicellular organism		juvenile	adult stage	adult stage			UBERON:0007023															
ECAO:0100361	digestive system	anatomical system	whole organism		blastopore formation stage	adult stage	"Anatomical system that has as its parts the organs devoted to the ingestion, digestion, and assimilation of food and the discharge of residual wastes."		UBERON:0001007															
ECAO:0100362	embryonic digestive system	digestive system	embryo		blastopore formation stage	prism stage	The gastrointestinal tract that is being formed during embryonic development starting with the formation of the primitive gut tube (or archenteron)												x					
ECAO:0100363	larval digestive system	digestive system	larva	embryonic digestive system	early pluteus larva stage	metamorphic larva stage	Organ system responsible for the food uptake and processing in the larva												x					
