ID	Stage	part of stage	stage preceded by 	Def	Synonyms	Reference	Time for P. lividus at 18°C	Definition	P. lividus specificities	OBO Uberon	Pubmed references
ID	A rdfs:label	C 'part of' some %	C 'immediately preceded by' some %	C %	"A oboInOwl:hasExactSynonym SPLIT=,"	A obo:IAO_0000301		A obo:IAO_0000115			
ECAO:0000001	life cycle period										
ECAO:0000002	gametogenesis	life cycle period	adult stage	UBERON:0000105			0:00:00	Biological process during which certain cells of a female or male individual (parent) are transformed into specialized reproductive cells (gametes) that will initiate development of a progeny individual (offspring) upon fertilization.			
ECAO:0000003	oogenesis period	gametogenesis			ovogenesis period		0:00:00	"Period during which female gametes (or oocytes, or eggs) develop and mature from primordial female germ cells to generate cells competent to further development upon fertilization by a mature spermatozoid."			
ECAO:0000004	previtellogenic primary oocyte stage	oogenesis period					0:00:00	"A female gamete that is small in size, i.e. about 10??m in diameter, and that is at the previtellogenic stage."			"Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69–81.

Wessel, G. M., Voronina, E. and Brooks, J. M. (2004). Obtaining and Handling Echinoderm Oocytes. In Methods in Cell Biology, pp. 87–114. Academic Press"
ECAO:0000005	not fully grown oocyte stage	oogenesis period	previtellogenic primary oocyte stage				0:00:00	"A developing female gamete that started growing in size by accumulation of yolk proteins. At this stage, it is characterized by the presence of a large nucleus, the germinal vesicle, which contains a prominent nucleolus and occupies most of the cytoplasm."			"Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69–81.

Wessel, G. M., Voronina, E. and Brooks, J. M. (2004). Obtaining and Handling Echinoderm Oocytes. In Methods in Cell Biology, pp. 87–114. Academic Press"
ECAO:0000006	fully grown oocyte with centered germinal vesicle stage	oogenesis period	not fully grown oocyte stage				0:00:00	"A developing female gamete that has reached its full size. It has grown up to ten times its original size, i.e. 80 to 100??m. It also displays a large germinal vesicle that is centered, but it is still not competent for fertilization."			"Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69–81.

Wessel, G. M., Voronina, E. and Brooks, J. M. (2004). Obtaining and Handling Echinoderm Oocytes. In Methods in Cell Biology, pp. 87–114. Academic Press"
ECAO:0000007	fully grown oocyte with off-centered germinal vesicle stage	oogenesis period	fully grown oocyte with centered germinal vesicle stage		primary oocyte		0:00:00	A developing female gamete that has reached its full size and in which the germinal vesicle has moved asymmetrically to the cell periphery. The germinal vesicle is now close to the animal pole.			"Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69–81.

Wessel, G. M., Voronina, E. and Brooks, J. M. (2004). Obtaining and Handling Echinoderm Oocytes. In Methods in Cell Biology, pp. 87–114. Academic Press"
ECAO:0000008	fully grown oocyte with no nucleus stage	oogenesis period	fully grown oocyte with off-centered germinal vesicle stage				0:00:00	"A developing female gamete in which the germinal vesicle has broken down. The germinal vesicle is no longer visible. However, the female gamete is still not mature. It is undergoing meiotic maturation, extruding successively a first and a second polar body."			"Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69–81

Wessel, G. M., Conner, S. D. and Berg, L. (2002). Cortical granule translocation is microfilament mediated and linked to meiotic maturation in the sea urchin oocyte. Development 129, 4315–4325.

Wessel, G. M., Voronina, E. and Brooks, J. M. (2004). Obtaining and Handling Echinoderm Oocytes. In Methods in Cell Biology, pp. 87–114. Academic Press"
ECAO:0000009	mature oocyte stage	oogenesis period	fully grown oocyte with no nucleus stage		"unfertilized egg, spawned egg"		0:00:00	"A mature female gamete that has achieved its meiotic maturation and in which the female pronucleus is visible. The mature oocyte is arrested in G1 phase and its average size is 80 to 100 µm. It is surrounded by a transparent jelly coat that is about 30 µm thick. It is competent to fertilization and it is located in the female gonad where it may be stored for weeks to months before its release in sea water by spawning. In the P. lividus species, the mature female gametes are characterized by the presence of pigment granules concentrated  in a subequatorial band. This band is classically called the pigment band and allows to visualize the first embryonic axis, i.e. the animal-vegetal axis, which is perpendicular to the band."			"Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.

Sardet, C. and Chang, P. (1985). A marker of animal-vegetal polarity in the egg of the sea urchin Paracentrotus lividus. Experimental Cell Research 160, 73–82

Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69–81

Wessel, G. M., Voronina, E. and Brooks, J. M. (2004). Obtaining and Handling Echinoderm Oocytes. In Methods in Cell Biology, pp. 87–114. Academic Press"
ECAO:0000010	spermatogenesis period	gametogenesis					0:00:00	"Period during which male gametes (or spermatozoa, or spermatozoid) develop and mature from primordial male germ cells to generate cells competent to further development upon fertilization of a mature oocyte."			
ECAO:0000011	developing spermatozoa stage	spermatogenesis period			spermatid		0:00:00	"A developing, immature male gamete undergoing mitosis and meiosis to ultimately produce mature spermatozoa."			"Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69–81."
ECAO:0000012	mature spermatozoid stage	spermatogenesis period	developing spermatozoa stage		"sperm, spermatozoa"		0:00:00	"A mature male gamete that is composed of a head, encompassing a compact nucleus, a neck, a middle piece, and a tail (or flagellum) that propels it towards the oocyte upon spawning."			"Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69–81."
ECAO:0000013	embryogenesis	life cycle period	gametogenesis	UBERON:0000105			0:00:00	"Biological process during which the embryo forms. This process starts with the fertilization of a mature oocyte by a mature spermatozoid. It is characterized by a succession of rapid mitotic divisions with no significant growth, but with axis establishment and cellular differentiation, thereby leading to the development of a multicellular embryo."			
